,Image Link,Brand Image Link,Model,Price,Description
0,https://www.music3000.fr/818764/dowina-puella-gads.jpg,https://www.music3000.fr/img/m/1217-small_default.jpg,DOWINA PUELLA GA-DS,"399,00€",Table : Epicéa des dolomites massif Corps : Acajou  Manche : Nato Touche : Ebonized Hardwood
1,https://www.music3000.fr/815246/lava-music-blue-lava-touch-sail-white-airflow-bag.jpg,https://www.music3000.fr/img/m/1260-small_default.jpg,LAVA MUSIC BLUE LAVA Touch Sail White (AirFlow Bag),"839,00€","-Lava Music Blue Lava  -Couleur : Sail White  -Table, corps, et éclisse : HPL (High Pressure Laminated)  -Ecran tactile de 3,5 pouces  -Système interactif HILAVA  -Nombreuses applications : accordeur rapide et précis (accordage alternatifs possibles), métronome, des dizaines d'effets, looper et enregistreur, boucles rythmiques, exercices d'entrainement...  -Système de suppression du son ambiant, permet de vous enregistrer avec un son pur et précis  -Connexion wifi et bluetooth pour retrouver ses créations sur le cloud depuis l'application Lava+ sur le téléphone  -Rapport de pratique depuis l'application Lava+  -Technologie Plek : hauteur des frettes et planimétrie du manche réglé avec une précision de 0,01 mm (permettant d’améliorer considérablement le confort et la précision de j"
2,https://www.music3000.fr/811641/lava-music-lava-me-3-38-space-grey-space-bag.jpg,https://www.music3000.fr/img/m/1260-small_default.jpg,LAVA MUSIC LAVA ME 3 38'' Space Grey Space Bag,"1399,00€","La LAVA ME 3 est la première guitare connectée !  Son écran multi-touch, son système HILAVA d’effets intégrés ainsi que son préampli L3 Smart Pickup offrent des applications riches et des possibilités sonores illimités !  Looper, + de 20 effets intégrés modulables, Equalizer, Métronome, Accordeur, Application d’apprentissage, et plein d’autres !  Rejoignez la communauté LAVA en partageant vos créations sur l’application mobile LAVA+ directement depuis votre LAVA ME 3 !"
3,https://www.music3000.fr/809825/gibson-g200-ec-natural.jpg,https://www.music3000.fr/img/m/68-small_default.jpg,GIBSON G-200 EC Natural,"1985,00€","Body Shape J-200 Body Material Walnut Top Sitka Spruce Back Walnut Side Walnut Bracing Traditional Scalloped X-bracing Finish Satin Nitrocellulose Lacquer Neck Material Utile Profile Advanced Response Scale Length 25.5"" / 647.7mm Fingerboard Material Striped Ebony Fingerboard Radius 16"" Number Of Frets 20 Frets Standard Nut Material TUSQ Nut Width 1.73"" / 43.815mm Inlays G-Collection Single Bar Joint Compound Dovetail Neck-to-body Joint; Hot Hide Glue Hardware Finish Chrome Tuner Plating Chrome Bridge Belly Down, Closed Slot, Striped Ebony Saddle Material TUSQ Tuning Machines Grover Mini Rotomatic Pickguard Black TrussRod Adjustable Truss Rod Cover Walnut Laminate Bridge Pins Black Strap Buttons 2 Electronics Under Saddle Pickup L"
4,https://www.music3000.fr/808518/lag-travelkae-travel-khaya-electro.jpg,https://www.music3000.fr/img/m/256-small_default.jpg,LAG TRAVEL-KAE travel khaya electro,"499,00€","LAG TRAVEL-KAE travel khaya electro CARACTERISTIQUES - Table : Khaya massif - Cordes : métal - Touche : Brownwood - Barrage : X - Sillets : Graphite - Chevalet : Brownwood - Finition : Pore ouvert satiné - Format : Voyage - Mécaniques à‚ bain d'huile, rapport 1:18 - Housse/étui : Housse - C"
5,https://www.music3000.fr/807738/dowina-sauvignon-gace-ds.jpg,https://www.music3000.fr/img/m/1217-small_default.jpg,DOWINA Sauvignon GACE ds,"1099,00€",DOWINA Sauvignon GACE ds
6,https://www.music3000.fr/807378/martin-dx2e12-guitare-12-cordes-electroacoustique-dx2e12.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN D-X2E-12 guitare 12 cordes électroacoustique d-x2e-12,"849,00€","MARTIN D-X2E-12 guitare 12 cordes électroacoustique d-x2e-12 En 1999, Martin s'est lancé dans l'univers des matériaux alternatifs et a créé une toute nouvelle gamme de guitares de haute qualité : la série X. Au cours des 20 années qui ont suivi, la série X a évolué pour inclure de multiples changements de conception avec l'aide de ces matériaux alternatifs. En 2020, fort de son histoire de 187 ans d'innovations majeures dans la fabrication de la guitare moderne, Martin nous présente la nouvelle série X qui combine les matériaux alternatifs et traditionnels en offrant à prix attractif un large choix de finitions dans ce standard de qualité. Les guitares 6 cordes de la série X ont toutes le barrage échancré, le préampli Fishman MX et sont livrées en housse. De plus sur les modèles de la séri"
7,https://www.music3000.fr/805693/martin-dx1ekoa-guitare-acoustique-dx1e-koa.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN D-X1E-KOA guitare acoustique d-x1e koa,"719,00€","MARTIN D-X1E-KOA d-x1e koa En 1999, Martin s'est lancé dans l'univers des matériaux alternatifs et a créé une toute nouvelle gamme de guitares de haute qualité : la série X. Au cours des 20 années qui ont suivi, la série X a évolué pour inclure de multiples changements de conception avec l'aide de ces matériaux alternatifs. En 2020, fort de son histoire de 187 ans d'innovations majeures dans la fabrication de la guitare moderne, Martin nous présente la nouvelle série X qui combine les matériaux alternatifs et traditionnels en offrant à prix attractif un large choix de finitions dans ce standard de qualité. Les guitares 6 cordes de la série X ont toutes le barrage échancré, le préampli Fishman MX et sont livrées en housse. De plus sur les modèles de la série X2, la table, le manche, la touc"
8,https://www.music3000.fr/805123/martin-lx1re-guitare-acoustique-lx-epicea-sitka--palissandre-hpl.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN LX1RE guitare acoustique lx epicéa sitka / palissandre hpl,"650,00€","MARTIN LX1RE lx epicéa sitka / palissandre hpl Malgré son petit format, la LX1RE offre une projection bluffante qui en fait une très bonne guitare à emmener partout avec soi! Les Little Martin sont déjà bien connues pour leur qualité de fabrication, leur projection et leur polyvalence. Nouvel ajout à la gamme, la LX1RE dispose d'une table en épicéa Sitka qui lui confère un son puissant et chaleureux et d'un corps en palissandre composite du plus bel effet. Sa rosace Herringbone et son pickguard - une première pour une Little Martin - lui confèrent un style original. Livrée en housse et équipée d'un préampli Fishman Sonitone, la LX1RE est autant une guitare de scène que de voyage. CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : FSC Certified Richlite - Barrage : X - Sill"
9,https://www.music3000.fr/805106/martin-00010e-guitare-acoustique-000-sapelesapele.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN 000-10E guitare acoustique 000 sapele/sapele,"1199,00€",MARTIN 000-10E 000 sapele/sapele CARACTERISTIQUES - Table : Sapelli - Cordes : métal - Touche : Richlite - Format : 000 - Housse/étui : Housse - Catégorie : Folk - Manche : Bois sélectionné - Fond / éclisses : Sapelli - Cordes d'origine : Authentic Acoustic Lifespan 2.0 Light - 92/8
